dataset;id;label;datatype;mandatory;decimals;minlength;maxlength;formatname;contentlength;id_;categorical;value_labels;cols_abb
ds;dsothct3;3;text;TRUE;NA;1;NA;OTHCTFMT;0;DSOTHCT3;1;;c
ds;dsothct3cd;3 - Code;integer;TRUE;NA;1;NA;OTHCTFMT;0;DSOTHCT3CD;2;;i
ds;dsothct4;4;text;TRUE;NA;1;NA;OTHCTFMT;0;DSOTHCT4;1;;c
ds;dsothct4cd;4 - Code;integer;TRUE;NA;1;NA;OTHCTFMT;0;DSOTHCT4CD;2;;i
ds;dsothct5;5;text;TRUE;NA;1;NA;OTHCTFMT;0;DSOTHCT5;1;;c
ds;dsothct5cd;5 - Code;integer;TRUE;NA;1;NA;OTHCTFMT;0;DSOTHCT5CD;2;;i
ds;dsothct99;99;text;TRUE;NA;1;NA;OTHCTFMT;0;DSOTHCT99;1;;c
ds;dsothct99cd;99 - Code;integer;TRUE;NA;1;NA;OTHCTFMT;0;DSOTHCT99CD;2;;i
ds;dsocdes;Other chemotherapy;text;TRUE;NA;1;NA;NA;0;DSOCDES;0;;c
ds;dsoctdes;Clinical trials;text;TRUE;NA;1;NA;NA;0;DSOCTDES;0;;c
ds;dsoodes;Other cancer therapy;text;TRUE;NA;1;NA;NA;0;DSOODES;0;;c
pt;ptchemyn;Has the patient received chemotherapy;text;TRUE;NA;1;NA;YNFMT;3;PTCHEMYN;1;;c
pt;ptchemyncd;Has the patient received chemotherapy - Code;integer;TRUE;NA;1;NA;YNFMT;1;PTCHEMYNCD;2;;i
pt;ptchemno;Number of lines;double;TRUE;0;1;NA;NA;1;PTCHEMNO;0;;d
pt;ptimmyn;Has the patient received immunotherapy;text;TRUE;NA;1;NA;YNFMT;3;PTIMMYN;1;;c
pt;ptimmyncd;Has the patient received immunotherapy - Code;integer;TRUE;NA;1;NA;YNFMT;1;PTIMMYNCD;2;;i
pt;ptradyn;Has the patient received radiation therapy to the brain?;text;TRUE;NA;1;NA;YNFMT;3;PTRADYN;1;;c
pt;ptradyncd;Has the patient received radiation therapy to the brain? - Code;integer;TRUE;NA;1;NA;YNFMT;1;PTRADYNCD;2;;i
pt;ptrad;Radiation therapy;text;TRUE;NA;1;NA;RADFMT;13;PTRAD;1;;c
pt;ptradcd;Radiation therapy - Code;integer;TRUE;NA;1;NA;RADFMT;1;PTRADCD;2;;i
pt;ptrtdos;Total dose;double;TRUE;6;1;NA;NA;2;PTRTDOS;0;;d
pt;ptccyn;Has the patient received concomitant chemotherapy;text;TRUE;NA;1;NA;YNFMT;3;PTCCYN;1;;c
pt;ptccyncd;Has the patient received concomitant chemotherapy - Code;integer;TRUE;NA;1;NA;YNFMT;1;PTCCYNCD;2;;i
pt;ptsptlyn;Was the SRS for primary target lesion;text;TRUE;NA;1;NA;YNFMT;3;PTSPTLYN;1;;c
pt;ptsptlyncd;Was the SRS for primary target lesion - Code;integer;TRUE;NA;1;NA;YNFMT;1;PTSPTLYNCD;2;;i
pt;ptptloc;Location of primary target lesion;text;TRUE;NA;1;NA;NA;19;PTPTLOC;0;;c
pt;ptptlno;Number of SRS treatments for primary target lesion;double;TRUE;0;1;NA;NA;1;PTPTLNO;0;;d
pt;ptothlyn;Was the SRS for other lesion;text;TRUE;NA;1;NA;YNFMT;3;PTOTHLYN;1;;c
pt;ptothlyncd;Was the SRS for other lesion - Code;integer;TRUE;NA;1;NA;YNFMT;1;PTOTHLYNCD;2;;i
pt;ptl1loc;Location of lesion 1;text;TRUE;NA;1;NA;NA;23;PTL1LOC;0;;c
pt;ptl1no;SRS treatments for lesion 1;double;TRUE;0;1;NA;NA;1;PTL1NO;0;;d
pt;ptl2loc;Location of lesion 2;text;FALSE;NA;1;NA;NA;24;PTL2LOC;0;;c
pt;ptl2no;SRS treatments for lesion 2;double;FALSE;0;1;NA;NA;1;PTL2NO;0;;d
pt;ptl3loc;Location of lesion 3;text;FALSE;NA;1;NA;NA;0;PTL3LOC;0;;c
pt;ptl3no;SRS treatments for lesion 3;double;FALSE;0;1;NA;NA;0;PTL3NO;0;;d
pt;ptcnsyn;CNS surgery;text;TRUE;NA;1;NA;YNFMT;3;PTCNSYN;1;;c
pt;ptcnsyncd;CNS surgery - Code;integer;TRUE;NA;1;NA;YNFMT;1;PTCNSYNCD;2;;i
pt;ptcptlyn;Was the CNS surgery for primary target lesion;text;TRUE;NA;1;NA;YNFMT;3;PTCPTLYN;1;;c
pt;ptcptlyncd;Was the CNS surgery for primary target lesion - Code;integer;TRUE;NA;1;NA;YNFMT;1;PTCPTLYNCD;2;;i
pt;ptptlloc;Location of primary target lesion;text;TRUE;NA;1;NA;NA;43;PTPTLLOC;0;;c
pt;ptplcnno;Number of surgeries for primary target lesion;double;TRUE;0;1;NA;NA;1;PTPLCNNO;0;;d
pt;ptcnsdat;Date of last surgery for primary target lesion;date;TRUE;NA;1;NA;NA;10;PTCNSDAT;0;;c
pt;ptcotlyn;Was the CNS surgery for other lesion;text;TRUE;NA;1;NA;YNFMT;3;PTCOTLYN;1;;c
pt;ptcotlyncd;Was the CNS surgery for other lesion - Code;integer;TRUE;NA;1;NA;YNFMT;1;PTCOTLYNCD;2;;i
pt;ptcl1loc;Location of lesion 1;text;TRUE;NA;1;NA;NA;57;PTCL1LOC;0;;c
pt;ptl1cnno;Number of surgeries for lesion 1;double;TRUE;0;1;NA;NA;1;PTL1CNNO;0;;d
pt;ptcl2loc;Location of lesion 2;text;FALSE;NA;1;NA;NA;0;PTCL2LOC;0;;c
pt;ptl2cnno;Number of surgeries for lesion 2;double;FALSE;0;1;NA;NA;0;PTL2CNNO;0;;d
pt;ptcl3loc;Location of lesion 3;text;FALSE;NA;1;NA;NA;0;PTCL3LOC;0;;c
pt;ptl3cnno;Number of surgeries for lesion 3;double;FALSE;0;1;NA;NA;0;PTL3CNNO;0;;d
pe;peoccur;Physical examination performed?;text;TRUE;NA;1;NA;YNFMT;3;PEOCCUR;1;;c
pe;peoccurcd;Physical examination performed? - Code;integer;TRUE;NA;1;NA;YNFMT;1;PEOCCURCD;2;;i
pe;perea;Reason not performed;text;TRUE;NA;1;NA;NA;39;PEREA;0;;c
pe;pedat;Date of Examination;date;TRUE;NA;1;NA;NA;10;PEDAT;0;;c
pe;pesk;Skin;text;TRUE;NA;1;NA;NABNDFMT;36;PESK;1;;c
pe;peskcd;Skin - Code;integer;TRUE;NA;1;NA;NABNDFMT;2;PESKCD;2;;i
pe;peskdes;Skin description;text;TRUE;NA;1;NA;NA;31;PESKDES;0;;c
pe;pere;Lungs;text;TRUE;NA;1;NA;NABNDFMT;8;PERE;1;;c
pe;perecd;Lungs - Code;integer;TRUE;NA;1;NA;NABNDFMT;2;PERECD;2;;i
pe;peredes;Lungs description;text;TRUE;NA;1;NA;NA;0;PEREDES;0;;c
pe;peca;Heart;text;TRUE;NA;1;NA;NABNDFMT;36;PECA;1;;c
pe;pecacd;Heart - Code;integer;TRUE;NA;1;NA;NABNDFMT;2;PECACD;2;;i
pe;pecades;Heart description;text;TRUE;NA;1;NA;NA;27;PECADES;0;;c
pe;peab;Abdomen;text;TRUE;NA;1;NA;NABNDFMT;8;PEAB;1;;c
pe;peabcd;Abdomen - Code;integer;TRUE;NA;1;NA;NABNDFMT;2;PEABCD;2;;i
pe;peabdes;Abdomen description;text;TRUE;NA;1;NA;NA;0;PEABDES;0;;c
pe;peln;Lymph nodes;text;TRUE;NA;1;NA;PELYMFMT;8;PELN;1;;c
pe;pelncd;Lymph nodes - Code;integer;TRUE;NA;1;NA;PELYMFMT;2;PELNCD;2;;i
pe;pelndes;Lymph node description;text;TRUE;NA;1;NA;NA;0;PELNDES;0;;c
pe;peex;Extremities;text;TRUE;NA;1;NA;NABNDFMT;36;PEEX;1;;c
pe;peexcd;Extremities - Code;integer;TRUE;NA;1;NA;NABNDFMT;2;PEEXCD;2;;i
pe;peexdes;Extremities description;text;TRUE;NA;1;NA;NA;25;PEEXDES;0;;c
pe;peoth;Other;text;FALSE;NA;1;NA;NABNDFMT;36;PEOTH;1;;c
pe;peothcd;Other - Code;integer;FALSE;NA;1;NA;NABNDFMT;2;PEOTHCD;2;;i
pe;peothdes;Other description;text;TRUE;NA;1;NA;NA;28;PEOTHDES;0;;c
nano;nanogait;Gait;text;TRUE;NA;1;NA;NANOGFMT;64;NANOGAIT;1;;c
nano;nanogaitcd;Gait - Code;integer;TRUE;NA;1;NA;NANOGFMT;3;NANOGAITCD;2;;i
nano;nanostr;Strength;text;TRUE;NA;1;NA;NANOSFMT;49;NANOSTR;1;;c
nano;nanostrcd;Strength - Code;integer;TRUE;NA;1;NA;NANOSFMT;3;NANOSTRCD;2;;i
nano;nanoatax;Ataxia (Upper Extremity);text;TRUE;NA;1;NA;NANOAFMT;47;NANOATAX;1;;c
nano;nanoataxcd;Ataxia (Upper Extremity) - Code;integer;TRUE;NA;1;NA;NANOAFMT;3;NANOATAXCD;2;;i
nano;nanosens;Sensation;text;TRUE;NA;1;NA;NANSEFMT;39;NANOSENS;1;;c
nano;nanosenscd;Sensation - Code;integer;TRUE;NA;1;NA;NANSEFMT;3;NANOSENSCD;2;;i
nano;nanovf;Visual Fields;text;TRUE;NA;1;NA;NANOVFMT;65;NANOVF;1;;c
nano;nanovfcd;Visual Fields - Code;integer;TRUE;NA;1;NA;NANOVFMT;3;NANOVFCD;2;;i
nano;nanofs;Facial Strength;text;TRUE;NA;1;NA;NANOFFMT;22;NANOFS;1;;c
nano;nanofscd;Facial Strength - Code;integer;TRUE;NA;1;NA;NANOFFMT;3;NANOFSCD;2;;i
nano;nanolang;Language;text;TRUE;NA;1;NA;NANOLFMT;93;NANOLANG;1;;c
nano;nanolangcd;Language - Code;integer;TRUE;NA;1;NA;NANOLFMT;3;NANOLANGCD;2;;i
nano;nanoloc;Level of Consciousness;text;TRUE;NA;1;NA;NANLCFMT;25;NANOLOC;1;;c
nano;nanoloccd;Level of Consciousness - Code;integer;TRUE;NA;1;NA;NANLCFMT;3;NANOLOCCD;2;;i
nano;nanobah;Behaviour;text;TRUE;NA;1;NA;NANOBFMT;25;NANOBAH;1;;c
nano;nanobahcd;Behaviour - Code;integer;TRUE;NA;1;NA;NANOBFMT;3;NANOBAHCD;2;;i
nano;nanotot;Total NANO score;double;FALSE;0;1;NA;NA;1;NANOTOT;0;;d
nano;nanochg;Change in NANO score from baseline;double;FALSE;0;1;NA;NA;2;NANOCHG;0;;d
ecog;ecogs;ECOG Score;text;TRUE;NA;1;NA;ECOGFMT;185;ECOGS;1;;c
ecog;ecogscd;ECOG Score - Code;integer;TRUE;NA;1;NA;ECOGFMT;1;ECOGSCD;2;;i
kps;kpss;Karnofsky Performance Scale;text;TRUE;NA;1;NA;KPSFMT;82;KPSS;1;;c
kps;kpsscd;Karnofsky Performance Scale - Code;integer;TRUE;NA;1;NA;KPSFMT;3;KPSSCD;2;;i
vs;vsyn;Vital signs performed?;text;TRUE;NA;1;NA;YNFMT;3;VSYN;1;;c
vs;vsyncd;Vital signs performed? - Code;integer;TRUE;NA;1;NA;YNFMT;1;VSYNCD;2;;i
